"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","AFG","Afghanistan",2016,1.716236347,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","BGD","Bangladesh",2016,0.639156769,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","BEN","Benin",2018,1.477357248,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","BTN","Bhutan",2017,0.898820835,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","BOL","Bolivia",2021,0.654136781,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","BIH","Bosnia and Herzegovina",2015,1.310381243,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","BRA","Brazil",2022,3.242325116,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","BFA","Burkina Faso",2018,0.919846526,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","KHM","Cambodia",2019,0.385045716,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","TCD","Chad",2018,3.055400635,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","CHL","Chile",2017,3.31192305,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","COL","Colombia",2022,1.688012819,"Percent"
"Prevalence","adj_al_alot_dfcl","Persons (15+ years) with disabilities (adjusted, % of population group)","adj_al_alot_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","All","COM","Comoros",2020,3.497659095,"Percent"
